구분,지역,지점명,주소,전화번호
미소지점,강원,IBK미소금융재단 강릉지부,강원 강릉시 경강로 2087 기업은행 강릉지점 2층,033-822-4200
미소지점,경기,IBK미소금융재단 고양지부,경기도 고양시 일산동구 중앙로1187  흥국생명빌딩6층 (통합거점센터),031-365-5200
미소지점,서울,IBK미소금융재단 강서지부,서울 강서구 양천로 57길 10-10 (강서고용복지플러스센타 3층),02-2038-3432
미소지점,서울,IBK미소금융재단 관악지부,서울 관악구 남부순환로 1794 IBK기업은행 서울대역지점 2층,02-6925-6940
미소지점,서울,IBK미소금융재단 광진지부,서울 광진구 광나루로56길85 5층(구의동.테크노마트) 광진서민금융통합지원센터,02-6925-3700
미소지점,서울,IBK미소금융재단 구로지부,서울 구로구 개봉로 60 IBK기업은행 개봉동지점 3층,02-6925-3710
미소지점,대구,IBK미소금융재단 대구달서지부,대구시 달서구 성서공단북로 158 (ibk기업은행성서3차단지지점2층),053-719-3730
미소지점,대구,IBK미소금융재단 대구서구지부,대구시 달서구 달구벌대로 1780 교보생명빌딩 2층,053-721-7100
미소지점,대전,IBK미소금융재단 대전지부,대전 동구 중교로 125 (구)IBK기업은행 1층,042-716-4200
미소지점,서울,IBK미소금융재단 동대문지부,서울 동대문구 천호대로 233 IBK기업은행 답십리지점 3층,02-6925-7307
미소지점,부산,IBK미소금융재단 부산지부,부산 중구 흑교로 5 기업은행 부평동지점 3층,051-714-4200
미소지점,경기,IBK미소금융재단 부천지부,부천시 원미구 송내대로66 용운빌딩8층 (경인지역서민금융통합거점센터내),032-668-5200
미소지점,경기,IBK미소금융재단 시흥지부,경기도 시흥시 새재로32 시흥시종합일자리센터 1층,031-365-4200
미소지점,경기,IBK미소금융재단 안산지부,경기도 안산시 단원구 적금로 126 (고잔동) IBK기업은행 안산중앙지점 3층,031-485-4690
미소지점,경남,IBK미소금융재단 양산지부,경남 양산시 물금읍 증산역로 135 퍼스트조양 5층 (양산서민금융통합지원센터),055-781-2300
미소지점,서울,IBK미소금융재단 양천지부,서울 양천구 목동로177 정동프라자7층(서민금융통합지원센터),02-6925-6869
미소지점,전남,IBK미소금융재단 여수지부,여수시 통제영 5길6 IBK기업은행 여수지점 2층,061-807-2900
미소지점,서울,IBK미소금융재단 은평지부,서울시 은평구 통일로 725 IBK기업은행 불광역지점 2층,02-6925-5100
미소지점,전북,IBK미소금융재단 익산지부,전북 익산시 익산대로16길23 IBK기업은행 익산중앙지점 2층,063-723-3900
미소지점,경기,IBK미소금융재단의정부지부,경기도 의정부시 평화로 325 5층(경기도 서민금융복지지원센터 내),031-876-8780
미소지점,경기,IBK미소금융재단수원지부,경기도 수원시 팔달구 매산로 20번길 23 4층(경기도 서민금융복지지원센터 내),031-241-2030
미소지점,경기,KB미소금융재단 경기남부지부,경기도 안양시 만안구 안양로 329(안양동) 국민은행 안양동지점 1층,031-442-8990
미소지점,대구,KB미소금융재단 대구지부,대구광역시 북구 칠곡중앙대로 439(관음동) 국민은행 대구강북지점 2층,053-314-5031
미소지점,대전,KB미소금융재단 대전지부,대전광역시 중구 대종로 478(은행동) 국민은행 대전은행동지점 4층,042-254-1025
미소지점,부산,KB미소금융재단 부산지부,부산광역시 부산진구 복지로 2(개금동) 국민은행 개금동지점 2층,051-894-6990
미소지점,서울,KB미소금융재단 서울도봉지부,서울특별시 도봉구 노해로 383(창동) 국민은행 창동지점 4층,02-3297-3745
미소지점,서울,KB미소금융재단 서울서부지부,서울 은평구 수색로 246 (수색동) 국민은행 수색지점 3층,02-375-9330
미소지점,인천,KB미소금융재단 인천지부,인천광역시 중구 제물량로 196(해안동3가) 국민은행 신포동(점) 2층,032-765-6831
미소지점,광주,KB미소금융재단 호남지부,광주 동구 금남로 204 (금남로4가) 국민은행 광주종합금융센터 4층,062-225-3361
미소지점,광주,LG미소금융재단 광주지부,광주 북구 임방울대로 1063(용두동) 6층 북광주서민금융통합지원센터,062-716-1020
미소지점,경북,LG미소금융재단 구미지부,경북 구미시 백산로 118 구미고용센터 3층,054-715-6001
미소지점,대구,LG미소금융재단 대구지부,대구시 수성구 동대구로 392 대구고용복지+센터 1층 (범어동),053-710-1020
미소지점,대전,LG미소금융재단 대전지부,대전시 서구 월평서로 11 신신빌딩 4층 401호,042-721-2143
미소지점,부산,LG미소금융재단 부산중구출장소,부산시 중구 대청로 80 백성사오피스텔 904호 (대청동3가),051-243-4806
미소지점,부산,LG미소금융재단 부산지부,부산시 연제구 중앙대로 1000 국민연금빌딩 16층 (연산동),051-710-2261
미소지점,서울,LG미소금융재단 서울지부,서울시 서초구 동작대로 186 신흥빌딩 5층 ,02-6929-0534
미소지점,경기,LG미소금융재단 안산출장소,경기도 안산시 단원구 중앙대로 927 남양빌딩 5층 안산서민금융통합센터,031-546-3428
미소지점,인천,LG미소금융재단 인천출장소,인천 계양구 경명대로 1074 2층,032-715-8020
미소지점,경기,LG미소금융재단 일산지부,경기도 고양시 덕양구 은빛로 45 206-2 화정꽃무리조합프라자 (화정동),031-8074-9120
미소지점,전북,LG미소금융재단 전주출장소,전주시 덕진구 기린대로 396 세광타워 3층 전주 서민금융통합지원센타,063-717-1904
미소지점,경남,LG미소금융재단 창원지부,경남 창원시 성산구 중앙대로 82 삼성생명빌딩 3층,055-713-5591
미소지점,경기,LG미소금융재단 성남지부,경기도 성남시 분당구 황새울로 258번길 31 예미지 빌딩 2층 성남서민금융통합지원센터,031-679-8136
미소지점,경기,LG미소금융재단 안양지부,경기 안양시 만안구 안양로 270 남서울빌딩 7층,031-8055-3630
미소지점,충북,LG미소금융재단 청주지부,충북 청주시 서원구 1순환로 642(사창동) 청주고용복지센터2층 ,043-230-7079
미소지점,강원,SK미소금융재단 강릉지부,강원도 강릉시 강릉대로 33 강릉시청 15층 서민금융통합지원센터,033-921-5500
미소지점,서울,SK미소금융재단 강북지부,서울 강북구 도봉로 136 풍양빌딩 3층 강북·성북고용복지플러스센터 內,02-6224-5500
미소지점,서울,SK미소금융재단 관악지부,서울 관악구 시흥대로 578 (신림동) 광안빌딩 6층 서민금융통합지원센터,02-6332-5500
미소지점,전북,SK미소금융재단 군산지부,전라북도 군산시 조촌로 62 (조촌동 752-4) 군산고용복지+센터 3층 군산서민금융통합지원센터,063-901-5500
미소지점,경기,SK미소금융재단 남양주지부,경기도 남양주시 별내3로 64-21 별내행정복지센터 1층,031-515-5510
미소지점,대전,SK미소금융재단 대전지부,대전 서구 문정로 41 SK텔레콤 둔산사옥 2층 內,042-348-5500
미소지점,강원,SK미소금융재단 동해출장소,강원 동해시 중앙시장길 12 뉴월드상가 B동 2층,033-930-5500
미소지점,부산,SK미소금융재단 부산지부,부산광역시 금정구 부곡로 1(부곡동 기업은행동래지점) 2층,051-918-5500
미소지점,부산,SK미소금융재단 부산사하지부,부산 사하구 낙동남로 1400 (하단동) 8층 부산사하고용복지+센터,051-915-5500
미소지점,충남,SK미소금융재단 서산지부,충청남도 서산시 고운로 177(동문동 서산시2청사) 1동 4층,041-920-5500
미소지점,서울,SK미소금융재단 서울중구지부,서울특별시 중구 창경궁로 17(예관동) 중구청 별관 1층 (일자리플러스센터 內),02-6332-5530
미소지점,서울,SK미소금융재단 송파지부,서울특별시 송파구 올림픽로 319(신천동) 교통회관 10층,02-6285-5500
미소지점,경기,SK미소금융재단 수원지부,경기도 수원시 팔달구 매산로 37 KT&G 코스모수원빌딩 8층 수원서민금융통합지원센터,031-891-5500
미소지점,경기,SK미소금융재단 광명출장소,경기 광명시 시청로 15 고용복지+센터 2층 내,031-342-5500
미소지점,서울,SK미소금융재단 영등포출장소,서울특별시 영등포구 선유로 120 1층 서울남부고용복지+센터,02-6205-5500
미소지점,울산,SK미소금융재단 울산지부,울산 남구 화합로 138 옥산빌딩 2층 울산서민금융통합지원센터 內,052-933-5500
미소지점,경북,SK미소금융재단 울진지부,경북 울진군 울진읍 읍내1길 18 울진바지게시장 2층,054-610-5500
미소지점,인천,SK미소금융재단 인천지부,인천광역시 남동구 인주대로 611 삼성생명 구월동빌딩 15층 인천서민금융통합지원센터內,032-214-5500
미소지점,제주,SK미소금융재단 제주지부,제주도 제주시 중앙로 165 제주고용복지+센터 3층 제주서민금융통합지원센터,064-901-5500
미소지점,경남,SK미소금융재단 진주지부,경남 진주시 진양호로 563 (주)안성빌딩 진주고용복지+센터 7층 진주서민금융통합지원센터,055-920-5500
미소지점,경북,SK미소금융재단 후포출장소,경북 울진군 후포면 삼율로 7-20 후포면사무소 2층,054-614-3300
미소지점,충남,SK미소금융재단 홍성지부,충남 홍성군 홍성읍 조양로 136 충남빌딩 6층 서민금융통합지원센터 내,041-977-5500
미소지점,서울,롯데미소금융재단 서울지부,서울특별시 중구 퇴계로 36 8층,02-757-3645
미소지점,부산,롯데미소금융재단 부산지부,부산시 사상구 광장로 76 송원센터빌딩 10층 (괘법동),051-315-8972
미소지점,전남,롯데미소금융재단 순천지부,전라남도 순천시 중앙로 39 동양생명빌딩 6층 서민금융통합지원센터 내,061-746-6596
미소지점,강원,미소금융 강원춘천법인본점,강원 춘천시 금강로 45 기업은행 춘천지점 2층,033-255-0063
미소지점,강원,미소금융 강원태백법인본점,강원도 태백시 태백로 976-1 2층,033-553-3744
미소지점,경기,미소금융 경기구리법인본점,경기도 구리시 건원대로 44 태영빌딩 2층,031-552-2155
미소지점,경기,미소금융 경기동두천법인본점,경기도 동두천시 어수로 102번길 3 청백빌딩 3층,031-858-2066
미소지점,경기,미소금융 경기성남법인본점,성남시 분당구 성남대로 912 503호(야탑동분당BYC빌딩),031-721-2103
미소지점,경기,미소금융 경기의정부법인본점,경기도 의정부시 평화로 516 한화생명 4층,031-837-2194
미소지점,경기,미소금융 경기하남법인본점,하남시 대청로 10 하남시청본관지하1층 소상공인종합상황실내,031-794-2091
미소지점,경기,미소금융 경기하남법인 광주출장소,경기도 하남시 미사강변대로 52 미사강변블루빌딩 3층,031-730-7081
미소지점,경기,미소금융 경기화성법인본점,경기도 화성시 경기대로 1038 A동 2층 203호(진안동 YJ금성빌딩),031-267-0584
미소지점,경남,미소금융 경남거제법인본점,경남 거제시 서문로 5길 6 우형빌딩 3층 (고현 국민은행건물) ,055-730-1942
미소지점,경남,미소금융 경남거제법인통영출장소,경상남도 통영시 광도면 죽림1로 69 통영고용복지+센터 2층,055-650-1958
미소지점,경북,미소금융 경북경주법인본점,경북 경주시 원화로 396 (동천동) 경주고용복지+센터 3층,054-778-2571
미소지점,경북,미소금융 경북안동법인본점,안동시 경동로 400 고용노동부 안동지청 2층,054-851-8082
미소지점,경북,미소금융 경북안동법인 문경출장소,경상북도 문경시 매봉1길 67번지 문경시산림조합 4층,054-559-8256
미소지점,경북,미소금융 경북안동법인영주출장소,경상북도 영주시 번영로 88 (영주고용복지+센터2층),054-639-1195
미소지점,광주,미소금융 광주북구법인본점,광주광역시 북구 임방울대로1063 6층(용두동),062-352-1661
미소지점,대구,미소금융 대구서구법인본점,대구광역시 서구 달서로 1 (내당동) 대구은행 내당동지점 2층,053-522-0072
미소지점,대구,미소금융 대구중구법인본점,대구광역시 중구 달구벌대로 2108 3층,053-252-6479
미소지점,대구,미소금융 대구중구법인동구청출장소,대구광역시 동구 아양로 207 대구동구청 1층 종합민원봉사실 내,053-662-2668
미소지점,대전,미소금융 대전유성구법인본점,대전광역시 유성구 가정북로 96 대전경제통상진흥원 103호,042-242-0380
미소지점,부산,미소금융 부산수영구법인본점,부산시 수영구 수영로 591 부산은행 광안동금융센터 3층,051-852-3446
미소지점,부산,미소금융 부산수영구법인동래출장소,부산광역시 동래구 동래시장길 14 (복천동 동래시장) 동래시장 2층(할매국수집 옆),051-558-3445
미소지점,부산,미소금융 부산중구법인본점,부산시 중구 대청로56 4층 (부평동2가),051-255-0005
미소지점,서울,미소금융 서울관악구법인본점,서울 관악구 봉천로 401 (봉천동 대성빌딩 3층),02-884-1042
미소지점,서울,미소금융 서울노원구법인본점,서울특별시 노원구 노해로 460 3층(현대증권빌딩),02-936-1008
미소지점,서울,미소금융 동작법인본점,서울시 동작구 동작대로5길 9 초당빌딩 7층,02-592-1672
미소지점,서울,미소금융 서울성북구법인본점,서울시 성북구 동소문로58 경일빌딩4층,02-924-1425
미소지점,서울,미소금융 서울은평구법인본점,서울특별시 은평구 통일로 80길 1-1 제202호,02-352-0459
미소지점,인천,미소금융 인천서구법인본점,인천 서구 가정로 388 (가정동) 4층,032-573-5017
미소지점,전북,미소금융 전북익산법인본점,익산시 익산대로 16길 39(SK빌딩) 11층,063-852-4047
미소지점,전북,미소금융 전북전주법인본점,전라북도 전주시 완산구 홍산로 276 (전주상공회의소 4층),063-285-4033
미소지점,충남,미소금융 충남천안법인본점,충남 천안시 서북구 월봉로38 3층(쌍용동수암빌딩),041-571-2714
미소지점,충북,미소금융 충북청주법인본점,충북 청주시 상당구 상당로81번길 4 (북문로1가 대우증권) 미래에셋대우빌딩 4층 청주서민금융통합지원센터,043-225-0029
미소지점,경북,삼성미소금융재단 경산지부,경상북도 경산시 경안로 223 경산상공회의소 2층,053-801-8762
미소지점,인천,삼성미소금융재단 계양지부,인천 계양구 계산새로 71 하이베라스 C동 503호,032-551-8762
미소지점,광주,삼성미소금융재단 광주광산출장소,광주광역시 광산구 하남대로 154 광산고용복지플러스센터 2층,062-960-3242
미소지점,광주,삼성미소금융재단 광주남구출장소,광주광역시 남구 봉선로 1 (주월동) 남구청 별관 2층 종합민원실,062-675-8762
미소지점,경기,삼성미소금융재단 기흥출장소,경기도 용인시 기흥구 관곡로 95 기흥구청 1층 종합민원실,031-693-8762
미소지점,경기,삼성미소금융재단 김포출장소,경기도 김포시 김포한강4로 125 125 월드타워 2층 서민금융통합지원센터,031-986-8768
미소지점,경남,삼성미소금융재단 김해지부,경상남도 김해시 인제로11번길 51 활천동주민센터 4층,055-339-8762
미소지점,경기,삼성미소금융재단 남양주지부,경기도 남양주시 진건읍 사릉로 406-1 서부희망케어센터 별관 1층,031-574-8762
미소지점,대구,삼성미소금융재단 대구동구출장소,대구 동구 안심로 405 (신서동) 신용보증재단 내,053-743-8762
미소지점,대구,삼성미소금융재단 대구서부출장소,대구광역시 달서구 달구벌대로 1780 2층 서민금융지원센터 내,053-721-8538
미소지점,대전,삼성미소금융재단 대전출장소,대전 서구 관저중로 82 관저2동 주민센터,042-541-8762
미소지점,서울,삼성미소금융재단 마포출장소,서울시 마포구 마포대로 63-8 삼창프라자 4층 고용복지플러스센터,02-2077-3456
미소지점,전남,삼성미소금융재단 목포지부,전라남도 무안군 삼향읍 오룡3길 2 전남 중소기업종합지원센터 5층,061-285-8762
미소지점,강원,삼성미소금융재단 무실출장소,강원도 원주시 시청로 36 시티타워 2층,033-735-8763
미소지점,부산,삼성미소금융재단 부산화명출장소,부산광역시 북구 화명대로9 부산북부 고용복지센터 1층 민원실 내,051-524-8762
미소지점,서울,삼성미소금융재단 서대문출장소,서울특별시 서대문구 연희로 248 (연희동 서대문구청) 1층 통합민원실 內,02-6952-8722
미소지점,서울,삼성미소금융재단 성동구청출장소,서울특별시 성동구 고산자로 270 성동구청 1층 1번 창구 옆,02-2294-8762
미소지점,경기,삼성미소금융재단 수원지부,경기도 수원시 팔달구 경수대로 420 (인계동) 마라톤빌딩 1210호1211호,031-247-8762
미소지점,경기,삼성미소금융재단 시흥출장소,경기도 시흥시 마유로 418번길 18 정왕프라자 3층 고용복지플러스센터,031-496-1989
미소지점,충남,삼성미소금융재단 아산지부,충청남도 아산시 시장길 29 시민문화복지센터 3층(온천동),041-541-8762
미소지점,강원,삼성미소금융재단 원주지부,강원도 원주시 호저로47 강원도산업경제진흥원 內 202호(우산동),033-735-8762
미소지점,경기,삼성미소금융재단 의왕출장소,경기도 의왕시 안양판교로 89 의왕고용복지플러스센터 2층,031-463-7499
미소지점,경기,삼성미소금융재단 이천출장소,경기도 이천시 부악로 40 이천시청 1층 민원실 내 9번 옆 창구,031-631-8752
미소지점,전북,삼성미소금융재단 전주지부,전라북도 전주시 덕진구 기린대로 451 종합운동장 내 207호,063-276-8762
미소지점,광주,신한미소금융재단 광주지부,광주시 북구 금남로 121 광주고용복지+센터 1층 ,062-609-8967
미소지점,서울,신한미소금융재단 금천지부,서울시 금천구 시흥대로 446 2층 (독산동),02-2061-0507
미소지점,대구,신한미소금융재단 대구지부,대구시 중구 달구벌대로 2125 6층 (봉산동),053-721-6245
미소지점,서울,신한미소금융재단 망우지부,서울시 중랑구 망우로 404 3층 (망우동),02-6954-3697
미소지점,부산,신한미소금융재단 부산지부,부산시 해운대구 재반로63번길 23 1층 (재송동),051-791-2130
미소지점,서울,신한미소금융재단 사무국,서울시 영등포구 영중로 27 5층 (영등포동),02-6949-4251
미소지점,서울,신한미소금융재단 영등포지부,서울시 영등포구 영중로 27 5층 (영등포동),02-6949-4562
미소지점,경기,신한미소금융재단 안양지부,경기도 안양시 만안구 안양로 290 3층 (안양동),031-687-5663
미소지점,인천,신한미소금융재단 인천지부,인천광역시 부평구 부흥로 337  4층 (부평동),032-721-3943
미소지점,경남,신한미소금융재단 창원지부,경남 창원시 마산합포구 산호북19길 1 4층 (산호동),055-602-1295
미소지점,충북,신한미소금융재단 청주지부,충북 청주시 상당구 무심동로336번길106  3층,043-903-7555
미소지점,경남,우리미소금융재단 경남지부,경상남도 창원시 마산합포구 불종거리로 30 (오동동) 경남은행 오동동지점 2층,055-248-1051
미소지점,광주,우리미소금융재단 광주지부,광주광역시 동구 양림로 117 (학동) 완이수산 3층(남광주시장내),062-225-6336
미소지점,대구,우리미소금융재단 대구지부,대구광역시 중구 중앙대로 418 (남일동) 우리은행 대구지점 5층,053-629-6593
미소지점,서울,우리미소금융재단 도봉구청(출),서울특별시 도봉구 마들로 656 (방학동) 도봉구청1층 민원여권과 내,02-3494-5923
미소지점,부산,우리미소금융재단 부산지부,부산광역시 동구 중앙대로 287 (초량동) 우리은행 초량지점4층,051-466-7117
미소지점,서울,우리미소금융재단 서울지부,서울특별시 중구 충무로 61 (을지로3가) 우리은행 을지로지점 2층,02-2275-2570
미소지점,경기,우리미소금융재단 성남지부,경기도 성남시 수정구 산성대로 321 (신흥동) 우리은행 성남지점 3층,031-733-0486
미소지점,경기,우리미소금융재단 용인지부,경기도 용인시 처인구 금령로 89 (김량장동) 우리은행 용인지점 3층,031-322-1263
미소지점,서울,우리미소금융재단 중랑(출),서울특별시 중랑구 면목로 242 (면목동) 중랑자동차등록 · 나눔센터 2층,02-3421-4963
미소지점,전남,포스코미소금융재단 광양지부,전라남도 광양시 광양읍 백운로 3(광양5일시장 內),061-761-8522
미소지점,서울,포스코미소금융재단 서울지부,서울시 강서구 강서로 12길 15 3층(화곡동 양지빌딩),02-2065-2391
미소지점,인천,포스코미소금융재단 인천지부,인천시 미추홀구 석바위로 56 203호(주안동 주안빌딩),032-761-9755
미소지점,경북,포스코미소금융재단 포항지부,경상북포 포항시 북구 칠성천길 116 2층(죽도동),054-231-7815
미소지점,대전,하나미소금융재단 대전지부,대전광역시 중구 중앙로116 대전신용보증재단 3층 대전서민금융통합지원센터 내,042-719-8310
미소지점,서울,하나미소금융재단 서울지부,서울특별시 중구 을지로66 지하1층,02-2275-0248
미소지점,충남,하나미소금융재단 천안지부,충청남도 천안시 동남구 충절로 17 삼성생명빌딩 9층 천안서민금융통합지원센터 내,041-621-6883
미소지점,충북,하나미소금융재단 충주지부,충청북도 충주시 탄금대로 39 세일빌딩 2층. 충주서민금융통합지원센터 내,043-857-1107
미소지점,경기,하나미소금융재단 평택지부,경기도 평택시 평택로 149 평택상공회의소 2층 평택서민금융통합지원센터 내,031-657-7123
미소지점,서울,현대차미소금융재단 관악지부,서울시 구로구 디지털로34길 27(구로동 182-4) 대륭포스트타워 3차 3층 서울관악고용복지센터 내,02-3282-9359
미소지점,광주,현대차미소금융재단 광주지부,광주광역시 서구 무진대로 966 현대빌딩 본관 3층,062-369-7400
미소지점,서울,현대차미소금융재단 노원지부,서울특별시 노원구 동일로 218길 35 원흥상가 4층 405-1호,02-964-7900
미소지점,대구,현대차미소금융재단 대구지부,대구시 달서구 와룡로 226 (송죽빌딩 2층 201호),053-557-8917
미소지점,대전,현대차미소금융재단 대전지부,대전광역시 대덕구 한밭대로 1027 우성빌딩 5층,042-639-2199
미소지점,부산,현대차미소금융재단 부산지부,부산시 북구 백양대로 1204 동강빌딩 4층 (부산은행 구포지점 건물 4층),051-305-8730
미소지점,강원,현대차미소금융재단 속초지부,강원도 속초시 동해대로 4178(조양동) 엠클리닉빌딩 3층 속초고용센터 내,033-633-2910
미소지점,서울,현대차미소금융재단 송파지부,서울특별시 송파구 충민로 66 가든파이브 라이프 리빙관 9층 9099~9100호,02-453-6730
미소지점,서울,현대차미소금융재단 을지로지부,서울시 중구 삼일대로 363 장교빌딩 2층 (서울고용노동청 고용복지플러스센터 내) ,02-3789-5005
미소지점,경기,현대차미소금융재단 의왕지부,경기도 의왕시 복지로 109 내손2동주민센터 내 ,031-426-6380
미소지점,인천,현대차미소금융재단 인천지부,인천 미추홀구 석정로 229 제물포스마트타운 2층 205호,032-715-6078
